FULL_NAME;ID_1;NAME;AL_1992;AL_1994;AL_1996;AL_1998;AL_2000;AL_2004;AL_2006;AL_2008;AL_2010
Altai Krai;3;Altai Krai;124;144;143;145;214;241;202;200;169
Altai Republic;19;Altai Republic;89;153;248;178;117;194;241;133;96
Amur Oblast;4;Amur Oblast;57;112;119;86;97;170;159;113;146
Arkhangelsk Oblast;5;Arkhangelsk Oblast;69;128;117;71;70;136;115;90;101
Astrakhan Oblast;6;Astrakhan Oblast;117;168;228;127;142;160;166;116;113
Belgorod Oblast;8;Belgorod Oblast;147;141;132;116;136;115;93;92;86
Bryansk Oblast;9;Bryansk Oblast;130;178;160;152;162;275;232;226;182
Chechen Republic;11;Chechen and Ingush Republic;15;0;0;0;0;0;25;40;14
Chelyabinsk Oblast;12;Chelyabinsk Oblast;130;167;146;101;122;165;158;143;123
Chukotka Autonomous Okrug;14;Chukotka Autonomous Okrug;233;413;287;195;191;595;552;527;589
Chuvash Republic;15;Chuvash Republic;87;154;141;168;181;209;179;167;130
Federal city of Moscow;48;Federal city of Moscow;83;119;121;79;81;72;67;56;57
Federal city of Saint Petersburg;16;Federal city of Saint Petersburg;96;158;115;77;93;91;73;51;45
Irkutsk Oblast;21;Irkutsk Oblast;156;270;235;225;185;378;430;186;191
Ivanovo Oblast;22;Ivanovo Oblast;144;183;180;172;217;247;205;182;168
Jewish Autonomous Oblast;89;Jewish Autonomous Oblast;72;85;37;43;68;226;194;254;262
Kabardino-Balkar Republic;23;Kabardino-Balkar Republic;41;72;86;111;103;95;86;82;86
Kaliningrad Oblast;24;Kaliningrad Oblast;90;138;109;107;116;133;110;101;92
Kaluga Oblast;26;Kaluga Oblast;140;182;120;102;129;181;162;166;127
Kamchatka Krai;27;Kamchatka Krai;154;266;226;168;211;524;626;169;199
Karachay–Cherkess Republic;28;Karachay–Cherkessia;58;106;123;95;117;98;70;82;76
Kemerovo Oblast;30;Kemerovo Oblast;113;170;146;112;140;149;143;117;101
Khabarovsk Krai;31;Khabarovsk Krai;99;141;126;85;137;214;166;134;146
Khanty–Mansi Autonomous Okrug;33;Khanty-Mansiysk Ugra-Autonomous Okrug;0;0;0;0;0;174;165;160;139
Kirov Oblast;34;Kirov Oblast;106;167;149;114;146;222;149;149;126
Komi Republic;36;Komi Republic;115;238;136;130;202;244;208;219;182
Kostroma Oblast;38;Kostroma Oblast;135;158;145;90;111;140;131;108;117
Krasnodar Krai;39;Krasnodar Krai;77;126;103;100;107;120;99;97;78
Krasnoyarsk Krai;40;Krasnoyarsk Krai;148;231;197;163;194;593;611;165;156
Kurgan Oblast;41;Kurgan Oblast;152;215;152;119;136;161;174;153;144
Kursk Oblast;42;Kursk Oblast;114;201;185;168;176;197;209;205;135
Leningrad Oblast;43;Leningrad Oblast;158;230;200;163;182;188;145;128;114
Lipetsk Oblast;44;Lipetsk Oblast;131;188;204;161;205;241;207;184;136
Magadan Oblast;45;Magadan Oblast;186;285;315;370;385;602;537;528;352
Mari El Republic;46;Mari El Republic;72;130;82;55;79;136;145;143;122
Moscow Oblast;49;Moscow Oblast;105;185;146;100;125;139;119;110;85
Murmansk Oblast;50;Murmansk Oblast;110;194;80;87;90;136;141;131;118
Nenets Autonomous Okrug;51;Nenets Autonomous Okrug;0;0;0;0;0;282;322;305;244
Nizhny Novgorod Oblast;52;Nizhny Novgorod Oblast;108;213;185;154;159;148;125;112;93
Novgorod Oblast;54;Novgorod Oblast;136;253;229;174;219;250;226;206;137
Novosibirsk Oblast;55;Novosibirsk Oblast;76;165;135;72;86;107;102;95;72
Omsk Oblast;56;Omsk Oblast;56;98;91;60;59;66;79;101;83
Orenburg Oblast;58;Orenburg Oblast;85;121;94;108;149;187;168;148;150
Oryol Oblast;57;Oryol Oblast;185;219;202;165;177;142;126;110;148
Penza Oblast;59;Penza Oblast;116;176;124;150;134;211;234;229;171
Perm Krai;60;Perm Krai;89;186;189;156;222;261;242;179;156
Primorsky Krai;61;Primorsky Krai;74;145;130;98;112;128;130;112;119
Pskov Oblast;62;Pskov Oblast;172;277;194;174;229;195;178;182;167
Republic of Adygea;1;Republic of Adygea;133;127;74;78;81;110;127;133;130
Republic of Bashkortostan;7;Republic of Bashkortostan;115;137;125;109;114;141;130;113;104
Republic of Buryatia;10;Republic of Buryatia;80;59;88;72;57;101;69;104;57
Republic of Dagestan;17;Republic of Dagestan;18;182;40;47;36;34;38;32;29
Republic of Ingushetia;20;Republic of Ingushetia;0;4;2;1;2;2;3;1;0
Republic of Kalmykia;25;Republic of Kalmykia;69;128;110;105;74;158;93;111;94
Republic of Karelia;29;Republic of Karelia;137;227;165;131;203;270;239;185;213
Republic of Khakassia;32;Republic of Khakassia;48;109;90;103;67;214;168;122;135
Republic of Mordovia;47;Republic of Mordovia;108;170;130;145;162;213;176;167;137
Republic of North Ossetia–Alania;53;Republic of North Ossetia - Alania;34;73;71;84;92;68;66;79;63
Republic of Tatarstan;73;Republic of Tatarstan;87;121;130;99;120;133;108;78;75
Rostov Oblast;63;Rostov Oblast;67;104;85;66;91;110;101;87;72
Ryazan Oblast;64;Ryazan Oblast;123;178;110;108;124;174;145;127;117
Sakha Republic;65;Sakha Republic;189;259;232;192;336;266;293;287;290
Sakhalin Oblast;66;Sakhalin Oblast;157;247;316;165;169;632;506;330;346
Samara Oblast;67;Samara Oblast;102;139;166;106;137;141;133;119;110
Saratov Oblast;68;Saratov Oblast;79;102;95;82;95;109;114;118;110
Smolensk Oblast;69;Smolensk Oblast;145;233;174;160;196;228;204;193;153
Stavropol Krai;70;Stavropol Krai;63;82;64;53;54;76;59;56;55
Sverdlovsk Oblast;71;Sverdlovsk Oblast;97;138;112;71;122;134;107;122;120
Tambov Oblast;72;Tambov Oblast;138;172;130;119;134;161;136;142;111
Tomsk Oblast;75;Tomsk Oblast;97;143;122;103;112;140;132;101;109
Tula Oblast;76;Tula Oblast;75;160;158;104;149;166;172;169;119
Tuva Republic;77;Tuva Republic;73;144;161;236;150;187;96;99;115
Tver Oblast;78;Tver Oblast;153;230;152;127;153;205;184;149;117
Tyumen Oblast;79;Tyumen Oblast;154;247;276;170;176;177;167;150;131
Udmurt Republic;80;Udmurt Republic;92;134;101;91;112;147;118;116;120
Ulyanovsk Oblast;81;Ulyanovsk Oblast;73;158;156;167;189;186;170;161;163
Vladimir Oblast;83;Vladimir Oblast;110;140;130;99;135;203;162;145;133
Volgograd Oblast;84;Volgograd Oblast;139;169;129;72;92;180;138;116;93
Vologda Oblast;85;Vologda Oblast;138;219;149;97;99;148;131;124;104
Voronezh Oblast;86;Voronezh Oblast;98;132;121;99;136;151;172;156;127
Yamalo-Nenets Autonomous Okrug;87;Yamalo-Nenets Autonomous Okrug;0;0;0;0;0;226;176;159;175
Yaroslavl Oblast;88;Yaroslavl Oblast;122;229;196;163;176;167;144;144;127
Zabaykalsky Krai;2;Zabaykalsky Krai;42;107;77;62;84;319;275;149;136
